Project Name,False Positives
0x69af81e73a73b40adf4f3d4223cd9b1ece623074_eth,2
0x87d32f2c0a3d6d091772890c81e321026454a125_poly,0
0xad29abb318791d579433d831ed122afeaf29dcfe_bsc,0
0xda10009cbd5d07dd0cecc66161fc93d7c9000da1_arbi,0
0x1c20e891bab6b1727d14da358fae2984ed9b59eb_avax,0
0x1b815d120b3ef02039ee11dc2d33de7aa4a8c603_poly,0
0x9eaac1b23d935365bd7b542fe22ceee2922f52dc_avax,0
0xc00e94cb662c3520282e6f5717214004a7f26888_eth,2
0xbc7d6b50616989655afd682fb42743507003056d_bsc,0
0x93a62ccfcf1efcb5f60317981f71ed6fb39f4ba2_eth,2
0x321162cd933e2be498cd2267a90534a804051b11_fantom,2
0xa0b862f60edef4452f25b4160f177db44deb6cf1_arbi,0
0xe111178a87a3bff0c8d18decba5798827539ae99_poly,0
0x50b728d8d964fd00c2d0aad81718b71311fef68a_poly,0
